tanggal,nama_pasar,komoditas,harga
2021-01-14,"Pasar Grogol","Bawang Putih",24000
2021-01-15,"Pasar Grogol","Bawang Putih",24000
2021-01-16,"Pasar Grogol","Bawang Putih",24000
2021-01-17,"Pasar Grogol","Bawang Putih",24000
2021-01-18,"Pasar Grogol","Bawang Putih",24000
2021-01-19,"Pasar Grogol","Bawang Putih",24000
2021-01-20,"Pasar Grogol","Bawang Putih",24000
2021-01-21,"Pasar Grogol","Bawang Putih",24000
2021-01-22,"Pasar Grogol","Bawang Putih",24000
2021-01-23,"Pasar Grogol","Bawang Putih",24000
2021-01-24,"Pasar Grogol","Bawang Putih",24000
2021-01-25,"Pasar Grogol","Bawang Putih",24000
2021-01-26,"Pasar Grogol","Bawang Putih",24000
2021-01-27,"Pasar Grogol","Bawang Putih",24000
2021-01-28,"Pasar Grogol","Bawang Putih",24000
2021-01-29,"Pasar Grogol","Bawang Putih",24000
2021-01-30,"Pasar Grogol","Bawang Putih",24000
2021-01-31,"Pasar Grogol","Bawang Putih",
2021-01-01,"Pasar Grogol","Daging Sapi Has (Paha Belakang)",130000
2021-01-02,"Pasar Grogol","Daging Sapi Has (Paha Belakang)",130000
2021-01-03,"Pasar Grogol","Daging Sapi Has (Paha Belakang)",130000
2021-01-04,"Pasar Grogol","Daging Sapi Has (Paha Belakang)",130000
2021-01-05,"Pasar Grogol","Daging Sapi Has (Paha Belakang)",130000
2021-01-06,"Pasar Grogol","Daging Sapi Has (Paha Belakang)",130000
2021-01-07,"Pasar Grogol","Daging Sapi Has (Paha Belakang)",130000
2021-01-08,"Pasar Grogol","Daging Sapi Has (Paha Belakang)",130000
2021-01-09,"Pasar Grogol","Daging Sapi Has (Paha Belakang)",130000
2021-01-10,"Pasar Grogol","Daging Sapi Has (Paha Belakang)",130000
2021-01-11,"Pasar Grogol","Daging Sapi Has (Paha Belakang)",130000
2021-01-12,"Pasar Grogol","Daging Sapi Has (Paha Belakang)",130000
2021-01-13,"Pasar Grogol","Daging Sapi Has (Paha Belakang)",130000
2021-01-14,"Pasar Grogol","Daging Sapi Has (Paha Belakang)",130000
2021-01-15,"Pasar Grogol","Daging Sapi Has (Paha Belakang)",130000
2021-01-16,"Pasar Grogol","Daging Sapi Has (Paha Belakang)",130000
2021-01-17,"Pasar Grogol","Daging Sapi Has (Paha Belakang)",130000
